date,open,high,low,volume,rsi_14,macd,cci,adx,stoch_slowk,stoch_slowd,willr,momentum,roc,ema8,ema20,ema200,Sto_rsi_fastk,Sto_rsi_fastd,adosc,obv,BB_upper,BB_middle,BB_lower,adj_close
2013-11-20,29460,29740,29280,8178150,54.26417237,170.4971515,44.81099656,18.3120631,89.08681961,86.1134874,-33.68421053,380,1.309441764,29232.57282,29103.6247,28632.41481,0,66.66666667,1177130.232,-293722700,30003.8853,29133.97955,28264.07381,29400
2013-11-21,29440,29440,28640,9019800,48.18742027,127.370176,-22.64353042,17.7864746,61.6014395,82.39316239,-65.26315789,60,0.208768267,29136.44552,29074.70806,28634.08233,0,33.33333333,-547628.263,-302742500,29855.81574,29211.82816,28567.84059,28800
2013-11-22,28820,29120,28620,8574600,50.18977167,108.0841392,-21.695213,17.33251494,39.18764639,63.2919685,-54.73684211,800,2.836879433,29106.1243,29067.59301,28637.7233,32.95101354,10.98367118,215279.6493,-294167900,29914.21355,29214.22497,28514.2364,29000
2013-11-25,29020,29440,29020,6615300,53.11661823,115.6738922,52.13178295,16.238124,35.13813269,45.30907286,-36.26373626,740,2.591036415,29149.20779,29089.72701,28644.31312,100,44.31700451,1209430.191,-287552600,29889.96002,29214.25595,28538.55187,29300
2013-11-26,29160,29580,29100,8586250,55.73119092,142.6382412,82.78805121,15.213715,59.03119869,44.45232592,-12.19512195,460,1.57967033,29244.93939,29136.41967,28653.62343,100,77.65033785,4238168.577,-278966350,29819.75741,29258.95798,28698.15855,29580
2013-11-27,29340,29520,29200,9351700,53.65948803,147.7796743,64.04862085,14.26247807,75.19499179,56.45477439,-23.17073171,1020,3.594080338,29279.3973,29161.52256,28661.05007,20.76323225,73.58774408,5835795.091,-288318050,29873.88273,29313.0833,28752.28387,29400
2013-11-28,29600,29880,29580,10644900,58.12933284,188.414362,123.8363893,14.09759292,88.98809524,74.4047619,0,1400,4.915730337,29412.86457,29229.94898,28673.17892,100,73.58774408,9345856.384,-277673150,30001.11526,29416.18449,28831.25373,29880
2013-11-29,29980,29980,29700,6752200,58.12933284,218.1034836,123.454723,14.13162132,90.27777778,84.82028827,-6.25,640,2.18878249,29516.67244,29291.8586,28685.18709,100,73.58774408,10546003.61,-277673150,30023.89206,29544.82631,29065.76055,29880
2013-12-02,30000,30060,29340,7487800,51.6315038,195.8017586,59.0093819,13.31676083,71.52777778,83.5978836,-42.85714286,-140,-0.474898236,29477.4119,29296.4435,28691.70264,0,66.66666667,7695763.505,-285160950,30066.3831,29607.23607,29148.08903,29340
2013-12-03,29280,29560,29140,7798600,50.28627976,166.5248884,-8.484848485,12.59861092,41.09299517,67.63285024,-53.16455696,-560,-1.880456682,29420.20926,29289.16317,28696.95933,0,33.33333333,4294053.448,-292959550,30152.35286,29591.55343,29030.754,29220
2013-12-04,29000,29060,28620,10844000,44.28105538,95.42164387,-145.8333333,12.90107142,11.69484702,41.43853999,-98.61111111,-760,-2.585034014,29246.82942,29227.3381,28696.39257,0,-3.79E-14,-624617.9218,-303803550,30387.10212,29460.13718,28533.17224,28640
2013-12-05,28660,28920,28440,10479650,46.19011066,51.39008025,-139.6698113,13.47714219,10.7689211,21.18558776,-77.77777778,0,0,29147.53399,29186.63924,28697.42349,31.7899075,10.59663583,-912801.1711,-293323900,30157.42182,29284.21165,28411.00148,28800
2013-12-06,29080,29080,28560,9147450,43.76771311,-2.83852465,-110.1232516,13.61969206,10.33950617,10.93442476,-92.59259259,-440,-1.517241379,29016.97088,29126.95931,28696.05609,0,10.59663583,-3858264.667,-302471350,29710.16551,29085.03832,28459.91113,28560
2013-12-09,28800,29080,28800,6996900,49.89859697,-3.811494016,-49.01380671,13.7520598,28.92416226,16.67752984,-60.49382716,-220,-0.750853242,29030.97735,29122.48699,28699.87643,100,43.92996917,-2486189.309,-295474450,29463.40325,28957.43882,28451.4744,29080
2013-12-10,28820,29020,28620,7755600,46.93143953,-26.86653846,-72.57142857,14.21269163,40.26675485,26.51014109,-77.77777778,-780,-2.636916836,28979.64905,29091.77395,28700.87269,51.60310488,50.53436829,-1945637.634,-303230050,29227.7509,28871.41398,28515.07706,28800
